Mã sản phẩm,Tên sản phẩm,Thương hiệu,Danh mục,Giá lẻ (VND),Số lượng/thùng,Giá thùng (VND),Mô tả,Hình ảnh,Ngày tạo,Ngày cập nhật
"threebond_threebond_xit_buong_ot_29185732","Threebond Xịt Buồng Đốt","Threebond","Xịt bảo dưỡng",180000,1,180000,"","https://i.ibb.co/RkjdHshr/threebond-threebond-xit-buong-ot-29185732-detail.jpg","08:39:46 24/6/2025","20:45:23 30/9/2025"
"total_total_5000_10w40","Total 5000 10W40","Total","Nhớt ô tô",380000,3,1140000,"","https://i.ibb.co/CpRVp9pM/total-total-5000-10w40-detail.jpg","19:18:00 20/6/2025","20:45:23 30/9/2025"
"total_total_5000_20w50","Total 5000 20W50","Total","Nhớt ô tô",360000,3,1080000,"","https://i.ibb.co/4RBCxPJN/total-total-5000-20w50-detail.jpg","19:18:00 20/6/2025","20:45:23 30/9/2025"
"total_total_5l_m_y_d_u","Total 5L Máy dầu","Total","Nhớt ô tô",450000,3,1350000,"","https://i.ibb.co/XxWpQQWk/total-total-5l-m-y-d-u-detail.jpg","19:18:00 20/6/2025","20:45:23 30/9/2025"
"total_total_6l_m_y_d_u","Total 6L Máy dầu","Total","Nhớt ô tô",550000,3,1650000,"","https://i.ibb.co/BKrZSgy5/total-total-6l-m-y-d-u-detail.jpg","19:18:00 20/6/2025","20:45:23 30/9/2025"
"total_total_7000","Total 7000","Total","Nhớt ô tô",450000,3,1350000,"","https://i.ibb.co/dsgnD79c/total-total-7000-detail.jpg","19:18:00 20/6/2025","20:45:23 30/9/2025"
"total_total_80w90","Total 80W90","Total","Dầu số",390000,3,1170000,"","https://i.ibb.co/ycKSmX3t/total-total-80w90-detail.jpg","19:18:00 20/6/2025","20:45:23 30/9/2025"
"toyo_toyo_b_ng","Toyo Bóng","Toyo","Bọt rửa xe",65000,12,780000,"","https://i.ibb.co/DP6YvPNw/toyo-toyo-b-ng-detail.jpg","19:18:05 20/6/2025","20:45:23 30/9/2025"
"turbo_oki_xanh_lon_55645229","Oki Xanh Lon","Turbo","Nước mát",13000,24,270000,"","https://i.ibb.co/tpRcdbqP/turbo-oki-xanh-lon-55645229-detail.jpg","12:14:03 23/6/2025","20:45:23 30/9/2025"
"wax_one_wax_one_b_ng_th_i","Wax One Bóng Thái","Wax One","Bọt rửa xe",65000,12,750000,"","https://i.ibb.co/WNjGBTwg/wax-one-wax-one-b-ng-th-i-detail.jpg","19:18:05 20/6/2025","20:45:23 30/9/2025"
"waxco_waxco_nuoc_rua_kinh_97944260","Waxco Nước rửa kính","Waxco","Nước rửa kính",110000,1,110000,"","https://i.ibb.co/BKH6NDd7/waxco-waxco-nuoc-rua-kinh-97944260-detail.jpg","09:59:04 4/7/2025","20:45:23 30/9/2025"
